D_TEMPORAL_0;D_TERRITORIO_0;D_TIPOMATRIMONIO_0;INDICATOR;OBS_VALUE;FREQ
2020;C01;00;Divorcios;13992.45022;A
2020;C01;1;Divorcios;13849.59059;A
2020;C01;23;Divorcios;142.85963;A
2020;C01;2;Divorcios;63.90317;A
2020;C01;3;Divorcios;78.95646;A
2020;04;00;Divorcios;1287.5417;A
2020;04;1;Divorcios;1280.21692;A
2020;04;23;Divorcios;7.32478;A
2020;04;2;Divorcios;2.13486;A
2020;04;3;Divorcios;5.18992;A
2020;11;00;Divorcios;1956.38358;A
2020;11;1;Divorcios;1931.19626;A
2020;11;23;Divorcios;25.18732;A
2020;11;2;Divorcios;12.59366;A
2020;11;3;Divorcios;12.59366;A
2020;14;00;Divorcios;1295.68526;A
2020;14;1;Divorcios;1287.68258;A
2020;14;23;Divorcios;8.00268;A
2020;14;2;Divorcios;2.97697;A
2020;14;3;Divorcios;5.02571;A
2020;18;00;Divorcios;1333.9225;A
2020;18;1;Divorcios;1327.84207;A
2020;18;23;Divorcios;6.08043;A
2020;18;3;Divorcios;6.08043;A
2020;21;00;Divorcios;832.55851;A
2020;21;1;Divorcios;821.20909;A
2020;21;23;Divorcios;11.34942;A
2020;21;2;Divorcios;3.78314;A
2020;21;3;Divorcios;7.56628;A
2020;23;00;Divorcios;886.77634;A
2020;23;1;Divorcios;877.37789;A
2020;23;23;Divorcios;9.39845;A
2020;23;2;Divorcios;6.47589;A
2020;23;3;Divorcios;2.92256;A
2020;29;00;Divorcios;3009.31704;A
2020;29;1;Divorcios;2985.99667;A
2020;29;23;Divorcios;23.32037;A
2020;29;2;Divorcios;9.34089;A
2020;29;3;Divorcios;13.97948;A
2020;41;00;Divorcios;3390.26529;A
2020;41;1;Divorcios;3338.06911;A
2020;41;23;Divorcios;52.19618;A
2020;41;2;Divorcios;26.59776;A
2020;41;3;Divorcios;25.59842;A
2019;C01;00;Divorcios;17078.2748;A
2019;C01;1;Divorcios;16906.61714;A
2019;C01;23;Divorcios;171.65766;A
2019;C01;2;Divorcios;83.76808;A
2019;C01;3;Divorcios;87.88958;A
2019;04;00;Divorcios;1684.43364;A
2019;04;1;Divorcios;1674.55734;A
2019;04;23;Divorcios;9.8763;A
2019;04;2;Divorcios;9.8763;A
2019;11;00;Divorcios;2350.11045;A
2019;11;1;Divorcios;2311.24632;A
2019;11;23;Divorcios;38.86413;A
2019;11;2;Divorcios;12.66128;A
2019;11;3;Divorcios;26.20285;A
2019;14;00;Divorcios;1369.08113;A
2019;14;1;Divorcios;1357.52818;A
2019;14;23;Divorcios;11.55295;A
2019;14;2;Divorcios;1.46233;A
2019;14;3;Divorcios;10.09062;A
2019;18;00;Divorcios;1634.5488;A
2019;18;1;Divorcios;1617.68672;A
2019;18;23;Divorcios;16.86208;A
2019;18;2;Divorcios;11.07616;A
2019;18;3;Divorcios;5.78592;A
2019;21;00;Divorcios;1003.79841;A
2019;21;1;Divorcios;992.62978;A
2019;21;23;Divorcios;11.16863;A
2019;21;2;Divorcios;11.16863;A
2019;23;00;Divorcios;1181.24056;A
2019;23;1;Divorcios;1178.20034;A
2019;23;23;Divorcios;3.04022;A
2019;23;3;Divorcios;3.04022;A
2019;29;00;Divorcios;3795.50761;A
2019;29;1;Divorcios;3762.58886;A
2019;29;23;Divorcios;32.91875;A
2019;29;2;Divorcios;14.77819;A
2019;29;3;Divorcios;18.14056;A
2019;41;00;Divorcios;4059.5542;A
2019;41;1;Divorcios;4012.1796;A
2019;41;23;Divorcios;47.3746;A
2019;41;2;Divorcios;22.74519;A
2019;41;3;Divorcios;24.62941;A
2018;C01;00;Divorcios;16934.828;A
2018;C01;1;Divorcios;16797.5122;A
2018;C01;23;Divorcios;137.3158;A
2018;C01;2;Divorcios;72.9398;A
2018;C01;3;Divorcios;64.376;A
2018;04;00;Divorcios;1456.1395;A
2018;04;1;Divorcios;1449.4039;A
2018;04;23;Divorcios;6.7356;A
2018;04;2;Divorcios;4.4904;A
2018;04;3;Divorcios;2.2452;A
2018;11;00;Divorcios;2490.3415;A
2018;11;1;Divorcios;2466.8376;A
2018;11;23;Divorcios;23.5039;A
2018;11;2;Divorcios;14.2172;A
2018;11;3;Divorcios;9.2867;A
2018;14;00;Divorcios;1405.7198;A
2018;14;1;Divorcios;1398.6852;A
2018;14;23;Divorcios;7.0346;A
2018;14;2;Divorcios;3.0986;A
